sme_id,year,state,sector,size_category,annual_revenue_ngn,innovations_adopted,innovation_intensity,constraints_faced,constraint_severity,revenue_growth_rate,profitability_rate,employee_growth_rate,digital_readiness_score,access_to_finance,government_support,num_employees,years_in_operation,export_orientation,formal_registration
12445,2018,Jigawa,Food & Beverage,Medium (50-249),4382769.36,Digital Marketing; Smart Agriculture; Automation Software; Supply Chain Management; Cloud Computing,0.312,Financial Constraints; Limited Technical Support; Power Supply Issues; Digital Literacy; Market Access; Talent Acquisition; Competition from Large Firms,4.91,24.91,3.63,0.92,3.37,Moderate,Minimal,167,1,Yes,No
12446,2018,Enugu,Retail,Small (10-49),389326.27,Online Learning Platform,0.062,Market Access; Technical Skills Gap; Competition from Large Firms; Technology Infrastructure,2.0,20.29,1.6,11.52,5.0,Difficult,None,193,10,Yes,Yes
12447,2018,Kaduna,Education,Micro (1-9),134649.74,Data Analytics; Mobile Payment System,0.125,Access to Credit,4.82,-5.78,17.69,17.72,1.0,Difficult,Minimal,88,18,No,Yes
12448,2018,Ondo,Education,Small (10-49),895897.28,Smart Agriculture; Data Analytics; Telemedicine; Cloud Computing; Blockchain Technology,0.312,Access to Credit; Technology Infrastructure; Market Access,2.97,24.71,12.28,-16.71,4.38,Moderate,None,172,9,Yes,No
12449,2018,Ondo,Manufacturing,Small (10-49),46059.41,CRM Systems; Telemedicine; Blockchain Technology; Supply Chain Management,0.25,Regulatory Barriers; Limited R&D Investment; Infrastructure Limitations; Power Supply Issues,4.23,1.52,21.54,-6.16,5.0,Very Difficult,Moderate,6,24,Yes,No
12450,2018,Kaduna,Agriculture,Micro (1-9),199094.03,Cloud Computing; E-commerce Platform; Smart Agriculture,0.188,Financial Constraints; Limited R&D Investment; Talent Acquisition; Limited Technical Support; Infrastructure Limitations,4.41,2.15,16.81,20.8,2.8,Very Difficult,None,145,3,No,No
12451,2018,Lagos,Financial Services,Medium (50-249),45485639.25,Digital Marketing,0.062,Technology Infrastructure; Limited Technical Support; Regulatory Barriers; Limited R&D Investment,4.63,1.43,11.96,16.21,4.15,Moderate,Minimal,57,24,Yes,Yes
12452,2018,Yobe,Transportation,Small (10-49),251208.8,,0.0,Access to Credit; Financial Constraints; Digital Literacy; Technical Skills Gap; Talent Acquisition,3.78,-7.83,20.52,7.49,5.0,Difficult,None,229,10,No,No
12453,2018,Ondo,Real Estate,Medium (50-249),2032936.76,Social Media Marketing; Financial Technology; Data Analytics,0.188,Technical Skills Gap; Competition from Large Firms; Talent Acquisition,2.09,5.6,17.78,33.91,4.57,Very Difficult,Minimal,236,7,Yes,No
12454,2018,Rivers,Services,Small (10-49),208041.56,AI/ML Tools; Digital Marketing; Automation Software,0.188,Access to Credit; Digital Literacy; Limited Technical Support; Financial Constraints; Technology Infrastructure; Technical Skills Gap; Infrastructure Limitations; Limited R&D Investment,3.01,-8.55,6.78,0.17,2.33,Moderate,Minimal,108,9,No,Yes
12455,2018,Gombe,Retail,Micro (1-9),497756.8,Supply Chain Management; AI/ML Tools; CRM Systems; Mobile Payment System; Automation Software,0.312,Digital Literacy; Government Policy Uncertainty; Competition from Large Firms; Access to Credit; Regulatory Barriers; Infrastructure Limitations; Limited Technical Support,2.66,26.8,13.74,9.61,1.43,Difficult,Moderate,35,6,No,No
12456,2018,Enugu,Energy,Small (10-49),2746959.94,Digital Marketing; Mobile Payment System; CRM Systems,0.188,Technology Infrastructure; Regulatory Barriers; Power Supply Issues; Access to Credit; Technical Skills Gap; Limited R&D Investment; Government Policy Uncertainty; Infrastructure Limitations,3.64,3.09,8.42,-4.77,2.18,Difficult,Minimal,110,22,Yes,Yes
12457,2018,Imo,Energy,Micro (1-9),142623.31,AI/ML Tools; E-commerce Platform; Online Learning Platform,0.188,Government Policy Uncertainty; Technical Skills Gap; Limited Technical Support,1.05,11.68,-5.86,12.1,5.0,Difficult,None,158,12,Yes,Yes
12458,2018,Taraba,Food & Beverage,Medium (50-249),652963.09,Blockchain Technology; Smart Agriculture; AI/ML Tools; CRM Systems; E-commerce Platform,0.312,Regulatory Barriers; Access to Credit; Competition from Large Firms; Talent Acquisition,1.72,-15.37,11.99,1.88,1.34,Moderate,None,166,21,No,Yes
12459,2018,Sokoto,Food & Beverage,Small (10-49),1595837.53,Mobile Payment System; Social Media Marketing; Telemedicine; Digital Marketing,0.25,Limited R&D Investment; High Internet Costs; Government Policy Uncertainty; Financial Constraints; Technical Skills Gap; Digital Literacy; Regulatory Barriers; Technology Infrastructure,3.14,-3.16,9.23,9.04,1.5,Easy,Minimal,235,8,Yes,Yes
12460,2018,Taraba,Tourism,Micro (1-9),192620.15,,0.0,Limited R&D Investment,1.76,-6.82,24.28,-2.41,2.09,Moderate,None,33,21,No,Yes
12461,2018,Plateau,Agriculture,Micro (1-9),273484.26,Digital Marketing; E-commerce Platform; Online Learning Platform; AI/ML Tools,0.25,Competition from Large Firms; Regulatory Barriers; Limited Technical Support,1.79,37.5,16.47,13.61,5.0,Difficult,Minimal,26,18,No,Yes
12462,2018,Rivers,Energy,Micro (1-9),112577.06,Smart Agriculture; Social Media Marketing,0.125,Regulatory Barriers,3.24,30.49,25.56,0.21,2.22,Moderate,Moderate,19,19,No,Yes
12463,2018,Bauchi,Services,Small (10-49),249776.44,Blockchain Technology,0.062,Digital Literacy; Talent Acquisition; Government Policy Uncertainty; Access to Credit,4.35,23.6,20.18,4.73,1.51,Easy,Minimal,65,20,Yes,No
12464,2018,Cross River,Services,Small (10-49),6432668.54,AI/ML Tools,0.062,Technology Infrastructure; Technical Skills Gap; High Internet Costs,2.69,13.57,-1.41,8.34,1.0,Moderate,None,6,12,Yes,No
12465,2018,Osun,Mining,Small (10-49),92110.87,Telemedicine; Blockchain Technology; Automation Software; Online Learning Platform,0.25,Limited R&D Investment; Digital Literacy; Competition from Large Firms; Government Policy Uncertainty; Technology Infrastructure; High Internet Costs; Regulatory Barriers,2.31,14.32,-2.26,9.29,1.07,Moderate,Minimal,114,21,Yes,Yes
12466,2018,Delta,Education,Micro (1-9),1424932.72,E-commerce Platform,0.062,Limited Technical Support; Technical Skills Gap; Regulatory Barriers,1.9,17.18,22.81,6.75,4.48,Moderate,None,36,4,Yes,No
12467,2018,Bauchi,Retail,Small (10-49),1454340.18,AI/ML Tools; Blockchain Technology; Supply Chain Management,0.188,Limited Technical Support; Technology Infrastructure; Infrastructure Limitations; Limited R&D Investment,1.59,4.66,27.86,-9.13,1.0,Easy,Moderate,235,14,No,No
12468,2018,Nasarawa,Agriculture,Medium (50-249),5663851.25,Cloud Computing; CRM Systems; Automation Software; Mobile Payment System; Digital Marketing,0.312,Financial Constraints,3.53,-0.88,13.61,-9.96,2.5,Very Difficult,None,10,15,No,Yes
12469,2018,Kogi,Construction,Micro (1-9),64417.69,Supply Chain Management,0.062,Technical Skills Gap; High Internet Costs; Talent Acquisition; Government Policy Uncertainty; Access to Credit; Regulatory Barriers; Technology Infrastructure; Infrastructure Limitations,1.18,-4.97,4.39,1.08,5.0,Very Difficult,Moderate,125,24,Yes,Yes
12470,2018,Bauchi,Services,Micro (1-9),25448.85,Blockchain Technology; Online Learning Platform; Financial Technology; Digital Marketing; Mobile Payment System,0.312,Access to Credit,3.19,15.36,21.42,5.8,3.57,Moderate,Significant,51,1,No,Yes
12471,2018,Kebbi,Transportation,Micro (1-9),55453.06,Cloud Computing; Online Learning Platform,0.125,Talent Acquisition; Power Supply Issues; Access to Credit; Limited R&D Investment,3.68,7.41,25.16,-7.05,1.12,Difficult,Minimal,14,18,Yes,Yes
12472,2018,Lagos,Healthcare,Medium (50-249),72171833.78,Automation Software; Cloud Computing,0.125,Government Policy Uncertainty; Regulatory Barriers; Limited R&D Investment; Financial Constraints,1.92,10.67,21.78,16.89,4.47,Difficult,Significant,16,15,No,Yes
12473,2018,Niger,Retail,Small (10-49),17088.88,E-commerce Platform; CRM Systems; Telemedicine,0.188,Limited Technical Support; Digital Literacy; Regulatory Barriers,2.26,27.71,-3.1,5.43,1.0,Moderate,Moderate,54,10,No,Yes
12474,2018,Taraba,Healthcare,Micro (1-9),130934.35,Mobile Payment System; IoT Solutions; Blockchain Technology; Cloud Computing,0.25,Financial Constraints; Limited R&D Investment,4.79,12.88,16.4,0.6,5.0,Difficult,Moderate,217,14,No,Yes
12475,2018,Osun,Food & Beverage,Micro (1-9),227756.41,,0.0,Power Supply Issues; High Internet Costs,4.93,11.1,14.07,10.59,2.58,Difficult,Minimal,115,8,Yes,Yes
12476,2018,Kebbi,Food & Beverage,Small (10-49),784125.93,Supply Chain Management; CRM Systems; Telemedicine; Automation Software; Financial Technology,0.312,High Internet Costs; Technology Infrastructure; Financial Constraints; Limited R&D Investment; Power Supply Issues; Infrastructure Limitations,3.01,-10.76,27.84,7.12,1.51,Very Difficult,Minimal,191,21,Yes,Yes
12477,2018,Anambra,Healthcare,Micro (1-9),10891.72,,0.0,Technical Skills Gap; Limited Technical Support; Talent Acquisition; Limited R&D Investment; Power Supply Issues,3.64,-1.12,28.37,-8.69,4.13,Easy,None,232,18,No,Yes
12478,2018,Jigawa,Mining,Small (10-49),488516.91,E-commerce Platform; Telemedicine; Data Analytics; Automation Software,0.25,Market Access; High Internet Costs,3.52,23.35,18.16,8.0,2.28,Difficult,Minimal,66,9,No,Yes
12479,2018,Delta,Transportation,Small (10-49),2445331.12,Digital Marketing; Cloud Computing,0.125,Power Supply Issues; Digital Literacy; Limited R&D Investment; Technical Skills Gap; Regulatory Barriers; Infrastructure Limitations; Competition from Large Firms; Technology Infrastructure,4.81,-0.63,6.97,-4.96,4.87,Moderate,Minimal,213,10,Yes,Yes
12480,2018,Taraba,Tourism,Medium (50-249),3816284.52,Telemedicine; Smart Agriculture; Automation Software,0.188,Talent Acquisition; Financial Constraints; Market Access; Digital Literacy; High Internet Costs; Limited R&D Investment,3.96,-7.0,6.47,9.15,4.98,Very Difficult,None,187,24,Yes,Yes
12481,2018,Cross River,Mining,Micro (1-9),24582.09,Digital Marketing; Automation Software; CRM Systems; AI/ML Tools; Social Media Marketing,0.312,Financial Constraints; Regulatory Barriers; High Internet Costs; Limited Technical Support,3.34,26.66,11.71,-4.21,1.0,Moderate,None,166,12,No,Yes
12482,2018,Cross River,Energy,Micro (1-9),694507.69,Cloud Computing; Blockchain Technology; E-commerce Platform; Mobile Payment System,0.25,Competition from Large Firms; Financial Constraints; Limited Technical Support; Regulatory Barriers; Technical Skills Gap; Technology Infrastructure; Infrastructure Limitations,1.06,-14.25,9.93,13.05,2.81,Moderate,Minimal,94,8,No,Yes
12483,2018,Ebonyi,Energy,Micro (1-9),41187.41,Digital Marketing; Data Analytics,0.125,Power Supply Issues; High Internet Costs; Limited R&D Investment; Market Access; Technical Skills Gap,3.06,9.8,27.28,-3.06,4.48,Difficult,Moderate,117,1,No,Yes
12484,2018,Anambra,Tourism,Micro (1-9),91983.34,E-commerce Platform,0.062,Access to Credit; Limited R&D Investment,1.47,12.78,27.96,-1.13,5.0,Very Difficult,None,106,7,No,Yes
12485,2018,Jigawa,Financial Services,Micro (1-9),373025.62,Telemedicine; E-commerce Platform,0.125,Limited R&D Investment; Regulatory Barriers; Infrastructure Limitations,3.04,7.24,15.48,-3.95,4.45,Difficult,None,212,2,Yes,Yes
12486,2018,Imo,Technology,Micro (1-9),38815.88,Telemedicine; Data Analytics; Online Learning Platform; Automation Software; AI/ML Tools,0.312,Financial Constraints; Access to Credit; Technical Skills Gap; Digital Literacy; Regulatory Barriers; Limited Technical Support; Government Policy Uncertainty; Infrastructure Limitations,4.23,10.22,16.86,-5.61,3.78,Easy,Minimal,144,17,No,Yes
12487,2018,Kwara,Services,Micro (1-9),106905.72,Online Learning Platform; Mobile Payment System; Social Media Marketing,0.188,Access to Credit; Technical Skills Gap; Limited Technical Support; Infrastructure Limitations; Government Policy Uncertainty; Financial Constraints; Technology Infrastructure; Competition from Large Firms,3.01,-18.19,4.1,-2.14,3.67,Moderate,Significant,166,3,No,Yes
12488,2018,Adamawa,Agriculture,Micro (1-9),268239.61,Digital Marketing; Data Analytics,0.125,Government Policy Uncertainty,2.49,17.13,17.14,0.99,3.73,Moderate,Minimal,203,3,Yes,No
12489,2018,Edo,Mining,Small (10-49),285356.44,Blockchain Technology,0.062,Financial Constraints; Talent Acquisition; High Internet Costs; Digital Literacy; Power Supply Issues; Infrastructure Limitations; Limited R&D Investment,1.53,11.18,-1.32,10.38,5.0,Difficult,None,6,24,No,No
12490,2018,Abia,Retail,Micro (1-9),1839775.0,IoT Solutions; Mobile Payment System; Smart Agriculture; Cloud Computing,0.25,Competition from Large Firms,1.84,25.55,23.22,21.8,1.0,Moderate,Minimal,243,23,Yes,Yes
12491,2018,Bauchi,Healthcare,Micro (1-9),209757.71,Supply Chain Management; Smart Agriculture,0.125,Limited R&D Investment; Regulatory Barriers,2.67,22.22,5.68,-8.2,3.84,Moderate,Minimal,34,1,No,Yes
12492,2018,Zamfara,Technology,Small (10-49),2749782.23,,0.0,Financial Constraints; Regulatory Barriers,4.33,10.75,17.51,-5.69,2.67,Very Difficult,Minimal,106,7,No,No
12493,2018,Yobe,Agriculture,Small (10-49),835395.78,Data Analytics; Online Learning Platform; E-commerce Platform,0.188,Market Access; Infrastructure Limitations; Power Supply Issues,4.11,15.9,17.58,1.51,5.0,Easy,None,77,13,No,Yes
12494,2018,Sokoto,Healthcare,Small (10-49),1635912.58,Cloud Computing; Blockchain Technology,0.125,Market Access; High Internet Costs; Infrastructure Limitations; Financial Constraints,1.39,16.14,1.63,-9.27,5.0,Difficult,Moderate,122,6,Yes,Yes
12495,2018,Ebonyi,Tourism,Micro (1-9),1130700.29,Telemedicine; Social Media Marketing; Supply Chain Management,0.188,Technology Infrastructure; Talent Acquisition; Infrastructure Limitations,2.53,6.34,25.91,12.27,3.84,Easy,None,52,21,No,No
12496,2018,Ebonyi,Agriculture,Micro (1-9),673474.16,Online Learning Platform; Digital Marketing,0.125,Access to Credit; Talent Acquisition; Technology Infrastructure,4.15,31.43,24.26,5.37,2.83,Very Difficult,Minimal,244,7,No,No
12497,2018,Anambra,Agriculture,Small (10-49),451120.99,E-commerce Platform; Data Analytics; Supply Chain Management; Online Learning Platform,0.25,Technology Infrastructure; High Internet Costs; Technical Skills Gap; Access to Credit; Digital Literacy; Limited Technical Support; Power Supply Issues; Talent Acquisition,4.7,5.75,1.28,-28.02,2.11,Moderate,Minimal,75,24,Yes,Yes
12498,2018,Delta,Agriculture,Medium (50-249),6577861.8,CRM Systems,0.062,Limited Technical Support; Competition from Large Firms; Regulatory Barriers; Access to Credit; Government Policy Uncertainty; Talent Acquisition,4.24,17.17,13.68,17.29,5.0,Difficult,Minimal,131,8,No,Yes
12499,2018,Katsina,Education,Micro (1-9),51944.62,CRM Systems; Mobile Payment System; IoT Solutions; Digital Marketing; Cloud Computing,0.312,Financial Constraints,4.8,-7.65,20.69,12.18,1.09,Easy,Minimal,114,20,No,No
12500,2018,Yobe,Real Estate,Micro (1-9),87368.83,,0.0,Technical Skills Gap; Power Supply Issues; Technology Infrastructure; Talent Acquisition,2.97,-12.2,7.48,0.32,3.39,Moderate,Minimal,179,3,No,Yes
12501,2018,Kogi,Services,Micro (1-9),25667.71,Telemedicine,0.062,Limited Technical Support; Limited R&D Investment; Technology Infrastructure; Infrastructure Limitations; Access to Credit; Technical Skills Gap; Talent Acquisition,4.13,19.95,12.63,1.77,5.0,Moderate,Minimal,140,24,No,No
12502,2018,Ekiti,Real Estate,Micro (1-9),37516.67,Supply Chain Management; IoT Solutions; E-commerce Platform; Cloud Computing,0.25,Competition from Large Firms; Regulatory Barriers; Market Access; Financial Constraints; Limited Technical Support; Power Supply Issues; Technology Infrastructure; Technical Skills Gap,1.85,-5.28,-5.44,34.49,4.7,Moderate,None,210,14,Yes,Yes
12503,2018,Abia,Food & Beverage,Micro (1-9),52219.09,Online Learning Platform; Financial Technology,0.125,Limited Technical Support; Technology Infrastructure; Technical Skills Gap; Digital Literacy; Power Supply Issues; Market Access; High Internet Costs,2.19,18.27,16.53,8.26,1.0,Moderate,None,247,25,Yes,Yes
12504,2018,Kebbi,Retail,Small (10-49),453915.43,,0.0,Power Supply Issues; Technology Infrastructure; High Internet Costs,3.64,25.29,8.19,4.62,5.0,Easy,Minimal,239,13,Yes,Yes
12505,2018,Abia,Mining,Micro (1-9),63129.61,AI/ML Tools; Cloud Computing; Automation Software; Blockchain Technology,0.25,Access to Credit; Talent Acquisition; Limited R&D Investment; Power Supply Issues; High Internet Costs,3.92,11.98,20.52,-0.72,5.0,Very Difficult,Minimal,157,14,No,Yes
12506,2018,Ebonyi,Mining,Micro (1-9),33279.6,,0.0,Financial Constraints; High Internet Costs; Competition from Large Firms; Talent Acquisition; Technology Infrastructure; Digital Literacy,1.64,-10.37,23.82,1.81,3.26,Moderate,Minimal,107,16,No,No
12507,2018,Delta,Tourism,Small (10-49),520512.54,AI/ML Tools; Social Media Marketing; Smart Agriculture,0.188,Power Supply Issues; Infrastructure Limitations; High Internet Costs,1.69,-0.9,15.95,30.79,1.8,Moderate,None,59,24,No,No
12508,2018,Kano,Education,Micro (1-9),776546.0,AI/ML Tools; Blockchain Technology; Supply Chain Management; E-commerce Platform; CRM Systems,0.312,Financial Constraints; Access to Credit; Talent Acquisition; Government Policy Uncertainty; Competition from Large Firms; Regulatory Barriers; Market Access; Infrastructure Limitations,4.2,6.22,22.14,38.45,5.0,Easy,Minimal,221,7,Yes,Yes
12509,2018,Nasarawa,Manufacturing,Micro (1-9),471501.33,IoT Solutions; Data Analytics,0.125,Talent Acquisition; Regulatory Barriers; Limited Technical Support,4.28,32.22,16.41,12.69,1.86,Moderate,Significant,105,13,Yes,Yes
12510,2018,Abia,Real Estate,Small (10-49),940756.29,Social Media Marketing; AI/ML Tools; CRM Systems; Online Learning Platform,0.25,Access to Credit; Financial Constraints; Digital Literacy; Regulatory Barriers,3.85,1.31,11.64,11.03,2.61,Difficult,None,213,25,No,Yes
12511,2018,Bauchi,Retail,Medium (50-249),820103.94,IoT Solutions; Online Learning Platform; Blockchain Technology,0.188,High Internet Costs; Limited Technical Support; Infrastructure Limitations; Technology Infrastructure; Government Policy Uncertainty,2.68,-1.52,17.23,-1.08,2.16,Moderate,Minimal,20,23,Yes,No
12512,2018,Osun,Food & Beverage,Micro (1-9),114138.76,Automation Software,0.062,Technical Skills Gap; Regulatory Barriers; Power Supply Issues; Limited Technical Support; Access to Credit; Competition from Large Firms; Market Access; Financial Constraints,2.61,-9.05,10.62,11.04,1.0,Difficult,Minimal,68,3,Yes,Yes
12513,2018,Oyo,Healthcare,Micro (1-9),202454.44,Data Analytics,0.062,Infrastructure Limitations; Access to Credit; High Internet Costs; Technology Infrastructure,2.57,6.73,24.89,-3.44,2.19,Very Difficult,Significant,245,17,No,Yes
12514,2018,Jigawa,Food & Beverage,Micro (1-9),341228.17,E-commerce Platform; Blockchain Technology; Online Learning Platform; Supply Chain Management; Smart Agriculture,0.312,Talent Acquisition; Digital Literacy; Technical Skills Gap; Limited R&D Investment; Power Supply Issues,4.35,25.05,27.36,-16.32,1.0,Easy,Moderate,104,19,Yes,Yes
12515,2018,Oyo,Energy,Micro (1-9),98504.93,Automation Software; Mobile Payment System; Social Media Marketing,0.188,Infrastructure Limitations; Regulatory Barriers; Technical Skills Gap; Power Supply Issues; Digital Literacy; High Internet Costs; Technology Infrastructure; Limited R&D Investment,3.52,-13.02,6.82,8.62,5.0,Very Difficult,Moderate,176,13,No,No
12516,2018,Ondo,Healthcare,Micro (1-9),117601.88,Automation Software; E-commerce Platform; Telemedicine; Data Analytics; Social Media Marketing,0.312,Market Access; Power Supply Issues; Technical Skills Gap; Government Policy Uncertainty; Infrastructure Limitations; Talent Acquisition; High Internet Costs; Financial Constraints,2.56,11.14,17.14,11.88,4.43,Difficult,Minimal,246,22,Yes,Yes
12517,2018,Zamfara,Healthcare,Small (10-49),2444255.53,Cloud Computing; Data Analytics,0.125,Limited Technical Support; Access to Credit; Power Supply Issues; Digital Literacy,2.51,-0.46,15.14,7.07,1.0,Difficult,None,155,12,Yes,Yes
12518,2018,Bauchi,Real Estate,Micro (1-9),28334.37,Mobile Payment System,0.062,Regulatory Barriers; Digital Literacy; Access to Credit; Competition from Large Firms; Technology Infrastructure; Limited R&D Investment; Limited Technical Support,3.94,47.43,6.09,6.54,3.71,Difficult,None,214,13,Yes,Yes
12519,2018,Bauchi,Education,Micro (1-9),455275.06,Smart Agriculture,0.062,Infrastructure Limitations; Financial Constraints; Access to Credit; Government Policy Uncertainty; Talent Acquisition,4.58,14.3,25.51,5.85,2.6,Moderate,Moderate,138,16,Yes,Yes
12520,2018,Bauchi,Retail,Micro (1-9),480318.05,Data Analytics; Supply Chain Management; Automation Software; Mobile Payment System,0.25,Talent Acquisition; Government Policy Uncertainty; High Internet Costs; Limited R&D Investment; Competition from Large Firms; Limited Technical Support; Technical Skills Gap,4.28,-11.51,24.37,19.86,2.69,Difficult,Minimal,5,2,Yes,No
12521,2018,Imo,Services,Small (10-49),3301943.67,,0.0,Financial Constraints; Talent Acquisition; Regulatory Barriers; Market Access; Limited Technical Support; Digital Literacy,2.41,13.24,33.34,-13.15,3.34,Difficult,Minimal,148,23,Yes,Yes
12522,2018,Bayelsa,Healthcare,Micro (1-9),64233.13,AI/ML Tools; Online Learning Platform; IoT Solutions; CRM Systems; Telemedicine,0.312,Limited R&D Investment; Market Access; Financial Constraints; Talent Acquisition,1.84,16.67,19.38,10.12,2.64,Difficult,None,166,14,No,Yes
12523,2018,Nasarawa,Financial Services,Micro (1-9),1942676.78,Online Learning Platform; Automation Software,0.125,Technical Skills Gap; Power Supply Issues,3.78,39.6,7.1,14.27,1.43,Moderate,Minimal,117,11,No,No
12524,2018,Delta,Transportation,Micro (1-9),316473.63,Financial Technology; Digital Marketing; Supply Chain Management; Data Analytics,0.25,Technology Infrastructure; Financial Constraints; Government Policy Uncertainty; Access to Credit; Digital Literacy,3.74,-29.01,23.16,6.46,5.0,Moderate,Minimal,122,8,Yes,No
12525,2018,Niger,Food & Beverage,Micro (1-9),52156.83,AI/ML Tools; Mobile Payment System; Financial Technology,0.188,Technical Skills Gap,2.7,-6.81,12.97,-1.29,4.88,Difficult,Minimal,215,19,Yes,Yes
12526,2018,Borno,Food & Beverage,Medium (50-249),1233363.74,,0.0,Financial Constraints; Power Supply Issues; Regulatory Barriers; High Internet Costs; Infrastructure Limitations,3.03,4.52,4.68,2.9,2.97,Moderate,Minimal,171,12,Yes,No
12527,2018,Delta,Education,Medium (50-249),410189.38,Financial Technology; Digital Marketing,0.125,Limited Technical Support; Limited R&D Investment,2.43,15.77,-2.31,-28.36,4.9,Difficult,Moderate,238,22,No,No
12528,2018,Ekiti,Food & Beverage,Micro (1-9),160766.82,Cloud Computing,0.062,Technology Infrastructure; Technical Skills Gap; Financial Constraints; Limited R&D Investment; High Internet Costs; Market Access,4.92,31.92,11.06,6.6,3.7,Moderate,Moderate,111,5,Yes,Yes
12529,2018,Rivers,Services,Micro (1-9),20021.49,IoT Solutions; Smart Agriculture; Digital Marketing,0.188,Technical Skills Gap; Infrastructure Limitations; Limited Technical Support; Financial Constraints; Power Supply Issues,2.88,9.09,6.9,-5.1,5.0,Difficult,Significant,240,5,Yes,Yes
12530,2018,Rivers,Food & Beverage,Micro (1-9),198933.45,Blockchain Technology; Smart Agriculture; E-commerce Platform; Telemedicine,0.25,Power Supply Issues; Technical Skills Gap; Market Access; Competition from Large Firms; Regulatory Barriers; Talent Acquisition; Technology Infrastructure; Government Policy Uncertainty,4.15,24.95,19.48,7.44,4.19,Difficult,None,239,22,No,Yes
12531,2018,Taraba,Real Estate,Small (10-49),357339.26,CRM Systems; Digital Marketing; Automation Software; Financial Technology,0.25,Power Supply Issues,2.79,17.53,27.74,3.22,1.49,Moderate,Minimal,124,22,Yes,No
12532,2018,Jigawa,Mining,Small (10-49),2040395.08,Smart Agriculture; Telemedicine; IoT Solutions; Mobile Payment System; Automation Software,0.312,Talent Acquisition; Government Policy Uncertainty; Access to Credit; Technical Skills Gap; Limited R&D Investment,1.87,13.05,0.78,-12.41,5.0,Difficult,Minimal,238,23,No,Yes
12533,2018,Ebonyi,Real Estate,Micro (1-9),178192.82,E-commerce Platform; AI/ML Tools,0.125,Power Supply Issues; Infrastructure Limitations; Technology Infrastructure,2.58,8.83,2.05,3.92,2.66,Difficult,Moderate,122,13,No,Yes
12534,2018,Niger,Construction,Small (10-49),44438428.24,Smart Agriculture,0.062,Technical Skills Gap; Government Policy Uncertainty; Competition from Large Firms,4.28,42.02,6.75,16.52,1.34,Easy,Minimal,137,9,No,Yes
12535,2018,Kebbi,Construction,Small (10-49),455232.5,,0.0,Power Supply Issues; Limited R&D Investment; Access to Credit,3.63,17.25,-0.12,-0.21,3.95,Very Difficult,Moderate,145,7,No,Yes
12536,2018,Delta,Energy,Micro (1-9),12097.64,,0.0,Regulatory Barriers; Access to Credit,5.0,-5.1,8.32,8.17,2.17,Easy,Minimal,184,13,Yes,No
12537,2018,Borno,Financial Services,Micro (1-9),94286.09,Smart Agriculture,0.062,Limited R&D Investment; Infrastructure Limitations; Talent Acquisition; Access to Credit; Regulatory Barriers; Government Policy Uncertainty; Financial Constraints; High Internet Costs,1.06,-8.74,1.95,9.14,1.0,Moderate,Minimal,30,23,Yes,Yes
12538,2018,Jigawa,Construction,Small (10-49),302896.63,Cloud Computing; Mobile Payment System; Data Analytics; IoT Solutions; Telemedicine,0.312,Financial Constraints; Market Access,2.08,13.97,9.71,-0.26,3.48,Very Difficult,None,248,22,Yes,Yes
12539,2018,Imo,Technology,Micro (1-9),1468246.65,IoT Solutions; Blockchain Technology; Smart Agriculture,0.188,Limited R&D Investment; Infrastructure Limitations; Competition from Large Firms,1.27,-2.18,10.26,-5.57,2.24,Easy,Minimal,202,6,No,Yes
12540,2018,Oyo,Construction,Micro (1-9),371486.83,Blockchain Technology; Financial Technology; Data Analytics; Digital Marketing; Supply Chain Management,0.312,Limited Technical Support; Government Policy Uncertainty; Talent Acquisition; Power Supply Issues; Limited R&D Investment,4.13,-2.0,20.15,19.46,2.54,Moderate,Minimal,162,17,No,Yes
12541,2018,Kwara,Agriculture,Medium (50-249),194489.69,E-commerce Platform; Telemedicine; Online Learning Platform; Automation Software,0.25,Financial Constraints; Access to Credit; Technical Skills Gap,2.84,25.98,13.28,2.25,3.77,Very Difficult,Minimal,98,8,Yes,Yes
12542,2018,Benue,Healthcare,Micro (1-9),41805.01,CRM Systems,0.062,Talent Acquisition; Competition from Large Firms; Market Access; Power Supply Issues,3.59,5.17,22.15,8.18,5.0,Moderate,None,4,22,No,No
12543,2018,Imo,Transportation,Micro (1-9),183853.55,Financial Technology; Telemedicine; Cloud Computing,0.188,Government Policy Uncertainty; Limited Technical Support,2.27,7.37,12.57,2.92,1.1,Difficult,Moderate,26,10,No,Yes
12544,2018,FCT,Real Estate,Small (10-49),163394.89,Digital Marketing,0.062,Government Policy Uncertainty; Market Access; Financial Constraints; Competition from Large Firms; Limited Technical Support; High Internet Costs; Talent Acquisition,3.72,12.55,8.04,-8.34,4.49,Difficult,Moderate,199,16,No,No
12545,2018,Plateau,Manufacturing,Small (10-49),434277.7,,0.0,Competition from Large Firms; Financial Constraints; Market Access; Limited Technical Support; Digital Literacy; Power Supply Issues; Regulatory Barriers; Technology Infrastructure,3.77,31.93,8.64,16.64,2.52,Difficult,None,84,3,Yes,Yes
12546,2018,Abia,Real Estate,Medium (50-249),75787177.83,Digital Marketing; Automation Software; Smart Agriculture; CRM Systems; Supply Chain Management,0.312,Technical Skills Gap; Regulatory Barriers; Infrastructure Limitations; Technology Infrastructure; Market Access; Talent Acquisition; Power Supply Issues,4.98,-6.37,16.68,-10.37,2.76,Moderate,None,236,20,Yes,No
